date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:58:52	8677/8677	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262a28c29-21e5%22	https://jorgehrdina.com.au/wp-content/plugins/video-popup-premium/js/YouTubePopUp.jquery.js?ver=1673855598	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-content/plugins/video-popup-premium/js/YouTubePopUp.jquery7b29.js	(from https://jorgehrdina.com.au/project/k2-house/)
10:58:52	725/725	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262a28c29-2d5%22	https://jorgehrdina.com.au/wp-content/plugins/video-popup-premium/js/YouTubePopUp.js?ver=1673855598	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-content/plugins/video-popup-premium/js/YouTubePopUp7b29.js	(from https://jorgehrdina.com.au/project/k2-house/)
10:58:52	27724/27724	---MCZ	200	added ('OK')	application/json	date:Mon,%2016%20Jan%202023%2007:58:01%20GMT	https://jorgehrdina.com.au/wp-json/wp/v2/avada_portfolio/79	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-json/wp/v2/avada_portfolio/79.json	(from https://jorgehrdina.com.au/project/k2-house/)
10:58:53	2710/2710	---MCZ	200	added ('OK')	application/json	date:Mon,%2016%20Jan%202023%2007:58:01%20GMT	https://jorgehrdina.com.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjorgehrdina.com.au%2Fproject%2Fk2-house%2F	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-json/oembed/1.0/embedaf3d.json	(from https://jorgehrdina.com.au/project/k2-house/)
10:58:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20Jan%202023%2007:58:02%20GMT	https://jorgehrdina.com.au/?p=79	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/index6ffe.html	(from https://jorgehrdina.com.au/project/k2-house/)
10:58:54	2812/2812	---MCZ	200	added ('OK')	text/xml	date:Mon,%2016%20Jan%202023%2007:58:02%20GMT	https://jorgehrdina.com.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjorgehrdina.com.au%2Fproject%2Fk2-house%2F&format=xml	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-json/oembed/1.0/embeda2f9	(from https://jorgehrdina.com.au/project/k2-house/)
10:58:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20Jan%202023%2007:58:03%20GMT	https://jorgehrdina.com.au/project/k2-house/%22https://jorgehrdina.com.au/wp-content/uploads/2022/02/K2-banner-img.jpg%22	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/project/k2-house/_https_/jorgehrdina.com.au/wp-content/uploads/2022/02/K2-banner-img.jpg_	(from https://jorgehrdina.com.au/project/k2-house/)
10:58:54	146/146	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Jan%202023%2007:58:03%20GMT	https://jorgehrdina.com.au/project/k2-house/https:/jorgehrdina.com.au/wp-content/uploads/2022/02/K2-banner-img.jpg	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/project/k2-house/https_/jorgehrdina.com.au/wp-content/uploads/2022/02/K2-banner-img.jpg	(from https://jorgehrdina.com.au/project/k2-house/)
10:58:56	352116/352116	---M--	200	added ('OK')	image/jpeg	etag:%2262a28c25-55f74%22	https://jorgehrdina.com.au/wp-content/uploads/2022/02/K2-slider-img-6.jpg	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-content/uploads/2022/02/K2-slider-img-6.jpg	(from https://jorgehrdina.com.au/project/k2-house/)
10:58:57	275034/275034	---M--	200	added ('OK')	image/webp	etag:%2262a28c25-4325a%22	https://jorgehrdina.com.au/wp-content/uploads/2022/02/K2-img-2.webp	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-content/uploads/2022/02/K2-img-2.webp	(from https://jorgehrdina.com.au/project/k2-house/)
